ticker,series,t,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19
AMKR,halluc,13,-0.023677867,-0.025863502,0.013729348,0.013409498,0.035323076,-0.011049707,-0.026412524,0.03200159,-0.01085702,-0.013003481,-0.06605825,-0.0102328155,0.013189522,0.0020463206,-0.023447393,-0.01469588,-0.06335363,0.02564558,0.0039931973,-0.008967136
AR,real,13,0.0034211462,-0.038292184,0.023150807,-0.032420035,0.008204077,-0.02408889,-0.040473316,0.029864108,-0.020810861,0.007482265,0.054400653,-0.011002773,0.014174583,-0.018108075,-0.0133455545,-0.08760573,-0.04250792,0.029341957,0.022240791,0.077440985
AR,halluc,13,0.0006169148,-0.041087084,0.020372102,-0.035221882,0.0054112272,-0.026885085,-0.043279655,0.027070262,-0.023609472,0.004667783,0.05161021,-0.0137950545,0.011376614,-0.020894751,-0.016137047,-0.090394296,-0.04531919,0.026543332,0.019446585,0.07465556
ARW,real,13,-0.0007669039,-0.014770557,0.016303776,0.023635399,0.096820414,-0.00015092062,-0.021742476,0.012416807,-0.0207034,-0.002023977,-0.013177695,0.010993437,-0.0147906095,-0.014449619,-0.005644721,-0.0030776733,-0.02530117,-0.0050041806,-0.0017573963,-0.017319744
ARW,halluc,13,-0.0027180891,-0.016734168,0.014350171,0.021664787,0.075857505,-0.0021111018,-0.023706283,0.010464171,-0.022670386,-0.003953638,-0.01510479,0.0090473145,-0.016770322,-0.016430829,-0.007606471,-0.005059648,-0.027192399,-0.0069772904,-0.0037494604,-0.019281166
ARWR,real,13,0.0098670265,-0.009867026,0.050105695,0.008537332,0.047588512,-0.0073220674,-0.09202218,0.0032772264,-0.031422526,0.017645726,-0.0012070008,0.043716352,-0.027246451,0.0112228,-0.032231975,0.023382362,-0.06045797,0.033429295,-0.0030487827,-0.0036708517
ARWR,halluc,13,0.012225141,-0.007693314,0.05226408,0.0108967805,0.049574073,-0.0050830706,-0.08980596,0.0056049977,-0.02917836,0.019834457,0.0010823283,0.045699008,-0.025061512,0.013449431,-0.030016445,0.025483666,-0.058271173,0.035127833,-0.0008500049,-0.0015848071
ASB,real,13,-0.025158562,-0.0009103324,0.020284671,0.014178351,0.0191727,0.018812012,0.013044578,0.010397266,-0.015426615,-0.012259719,0.0050912285,0.0063278005,0.00461507,0.012065884,-0.015000282,-0.00041990355,-0.018652514,-0.0077319983,0.0073040063,0.0093737375
ASB,halluc,13,-0.024744226,-0.0005012902,0.020735925,0.0145951575,0.019596448,0.019245915,0.013280458,0.010838187,-0.015000494,-0.011839546,0.005505603,0.0067880778,0.0050508836,0.012520047,-0.014576873,3.263238e-05,-0.018461755,-0.00725565,0.0076930495,0.009806336
ASGN,real,13,0.01563055,-0.020820094,0.028324818,0.020459957,0.041670498,-0.011013098,-0.016325604,0.012976918,-0.04348977,-0.034415115,0.037148397,0.002290202,-0.0042574164,0.014229317,-0.015433411,0.012625332,-0.032090668,-0.0017885093,0.0019001849,-0.012698939
ASGN,halluc,13,0.015740516,-0.0200796,0.028194502,0.021004492,0.042137608,-0.01071764,-0.016084982,0.014348231,-0.041515887,-0.033827733,0.037444007,0.0021454066,-0.002260599,0.015606557,-0.015339882,0.014667474,-0.031595476,-0.0018893342,0.0018638959,-0.012087485
ASH,real,13,0.008864066,-0.008208236,0.023144893,-0.007993795,-0.0072215847,-0.021698123,0.006247654,0.019160358,-0.009861462,-0.021546856,-0.006421029,0.00794833,0.0010486676,-0.0030537287,-0.008253405,-0.003862127,-0.017468119,0.006280687,0.0026378795,-0.0023444379
ASH,halluc,13,0.00973299,-0.0073207817,0.022446886,-0.0070525864,-0.007938454,-0.022200936,0.0069773006,0.01846078,-0.010604745,-0.020510849,-0.0071097924,0.007284611,0.00035064714,-0.0021740892,-0.008795986,-0.0038190912,-0.018251905,0.005531846,0.003438339,-0.003105018
ATR,real,13,-0.00053210347,0.0046021855,0.020884153,0.015752405,0.0017918858,-0.016157104,-0.017303586,-0.0110802,-0.014635502,-0.011919525,-0.00036619976,0.005387895,-0.00036436506,0.005723386,0.0027139513,0.05278734,-0.013893307,-0.003133162,-0.0013956736,0.0018314226
ATR,halluc,13,0.0007620024,0.0033159922,0.020557838,0.01709938,0.0011588236,-0.014858059,-0.018432088,-0.009730131,-0.015553682,-0.013246224,0.0006741941,0.0057038963,-0.001600436,0.0048122816,0.001392178,0.04714273,-0.015132564,-0.002655622,-0.002263606,0.0005778662
AVT,real,13,-0.0008705115,-0.012928853,0.011839648,0.02220158,0.0008523333,-0.003200003,-0.0066459673,-0.0015068348,-0.0075684222,-0.0050049066,0.0037016915,0.0069309357,-0.00021586617,-0.0036768725,0.006048841,0.0,-0.021773122,0.00022009463,0.0070175724,-0.0032833565
AVT,halluc,13,-0.00026860312,-0.012369236,0.012410593,0.022834502,0.0014680196,-0.0026276924,-0.0061546545,-0.0008833738,-0.0069692675,-0.0044075567,0.004262758,0.0075530894,0.00037736906,-0.0030196994,0.0065417713,0.00038199848,-0.021669088,0.00082788226,0.007640277,-0.0027021314
AYI,real,13,0.016393363,-0.00064843846,0.018848278,0.01735333,-0.010323145,0.009912771,-2.3283064e-10,0.016870614,-0.016818427,-0.024512585,0.0068754437,0.017167352,0.0059863273,0.0049183397,-0.0009817348,0.015236924,-0.026047839,0.000835771,0.010078531,-0.012640289
AYI,halluc,13,0.017459732,0.00041237357,0.019897906,0.01841519,-0.009267638,0.010970742,0.0010540815,0.017939126,-0.015755692,-0.023451773,0.0079418905,0.01822094,0.007048796,0.005969687,7.828302e-05,0.016296212,-0.024994716,0.0018971429,0.01112232,-0.0115905255
AZPN,real,13,0.0050454726,0.025670301,0.015413782,0.039801095,-0.013042814,-0.016845312,0.030081514,0.022938978,-0.011117033,-0.0071437433,-0.0065653147,0.023833439,0.016091168,0.008157257,-0.016053203,0.0035585563,-0.0095334975,0.019856289,0.009667694,-0.01677062
AZPN,halluc,13,0.0040965276,0.02465213,0.014411208,0.038728468,-0.0142286485,-0.017867714,0.029063083,0.021987699,-0.012183783,-0.007996456,-0.007437461,0.022843499,0.0149532985,0.0070518404,-0.017046992,0.0023887767,-0.01035712,0.01877534,0.008476264,-0.017834973
BC,real,13,0.013007698,0.001629788,0.0548383,0.021700457,0.049795307,0.019893542,-0.023100264,-0.015177169,-0.005977573,-0.021149687,-0.0009247479,0.017652912,0.0027232515,0.010707344,-0.008443619,0.0074341414,-0.024193354,0.010521598,0.0055590365,-0.0033011986
BC,halluc,13,0.011182814,0.0017029233,0.05663293,0.022847667,0.049350563,0.018138181,-0.021728396,-0.0134179825,-0.0076830033,-0.01931886,-0.0015030741,0.017860567,0.0013615955,0.00975785,-0.009634021,0.0070630703,-0.025903612,0.0093259085,0.0071557807,-0.0016911244
BJ,real,13,0.0005740528,0.001720184,0.03725218,0.027089387,-0.0017474296,-0.025203979,0.0056407936,0.0026032762,-0.004388378,0.023766993,0.0050870255,0.00093426765,-0.0076331133,0.016795916,-0.0034428004,-0.0050532026,0.0021307773,-0.009893129,-0.012029611,-0.0009523162
BJ,halluc,13,-0.00031361752,0.000669417,0.03677389,0.026132397,-0.0026078762,-0.026099632,0.004609841,0.0017035655,-0.005366591,0.02272108,0.0041221427,0.0002054926,-0.008576924,0.015878437,-0.0044033024,-0.0059905015,0.001001483,-0.010784752,-0.0128913205,-0.0019552133
BKH,real,13,-0.0014017387,-0.0025280912,0.017702043,0.0012426651,0.012751252,-0.019952502,-0.0073934915,-0.005616415,-0.09738216,-0.019116845,0.0147615755,0.002750989,-0.0050362083,0.011296009,0.00046790903,0.0091579985,-0.022975147,-0.0066624614,-0.0075086225,0.005915758
BKH,halluc,13,0.00020706886,-0.0010479931,0.018873211,0.002995097,0.014402569,-0.0180313,-0.0058993003,-0.0039398586,-0.07707145,-0.017107492,0.016185742,0.0040446,-0.0032798317,0.013073611,0.0013836091,0.00984262,-0.020929173,-0.004873215,-0.005527918,0.0064849174
BLD,real,13,0.015417121,-0.041212566,0.054597758,0.021216888,0.032118708,-0.026506882,-0.035564147,0.0079353545,-0.01126886,-0.0047669853,-0.009859344,0.024042547,0.0043507684,0.010572655,-0.009226257,-0.008809308,-0.03927099,0.03468556,0.035766814,0.004667226
BLD,halluc,13,0.017554339,-0.03898468,0.056751058,0.023492943,0.031462114,-0.02780767,-0.03385327,0.007019741,-0.013297344,-0.0065333997,-0.009484675,0.022327997,0.003434724,0.009367514,-0.011186335,-0.01058808,-0.041274846,0.032407947,0.033949085,0.0026463442
