avg_epoch_s,eval_acc,eval_g_neg,eval_g_pos,eval_neg_mode_effective,eval_objective,eval_sc_acc,eval_sc_gap,eval_sc_loss,eval_sc_neg,eval_sc_pos,eval_sep,goodness_target,goodness_temp,graphs_per_s,hall_lr,hall_node_fraction,hall_steps,layerwise_hall_corr,layerwise_hall_mean,layerwise_hall_std,layerwise_neg_mode,layerwise_noise_std,mode,neg_gate_margin,neg_mix_end,neg_mode,neg_mode_effective,score
1.036488747333351,0.637906647807638,2.022759954134623,3.305348594983419,shuffle,ff,,,,,,1.2825886408487959,3.630000000000001,0.16000000000000003,2724.6414337344536,0.034999999999999996,0.25,10,0.0,0.006,0.006,shuffle,0.05,ff_layerwise,1.0,0.5,self_contrastive,shuffle,0.32650015796433524
0.8761486446667277,1.0,0.2843646506468455,0.9948855638504028,self_contrastive,self_contrastive,1.0,0.7105209132035573,1.6021336714426677,0.2843646506468455,0.9948855638504028,0.7105209132035573,3.630000000000001,0.16000000000000003,3223.254799126262,0.034999999999999996,0.25,10,0.0,0.006,0.006,shuffle,0.05,ff_e2e,1.0,0.5,self_contrastive,self_contrastive,0.3441433600982916
1.0499459659999957,0.7248939179632249,1.7135584354400635,3.1025821367899575,shuffle,ff,,,,,,1.389023701349894,3.0855000000000006,0.12800000000000003,2689.9002979536103,0.034999999999999996,0.4,10,0.0,0.006,0.006,shuffle,0.05,ff_layerwise,1.0,0.6,self_contrastive,shuffle,0.35849040948951194
0.8847941723333103,1.0,0.28089774399995804,0.994665135939916,self_contrastive,self_contrastive,1.0,0.713767391939958,1.590711534023285,0.28089774399995804,0.994665135939916,0.713767391939958,3.0855000000000006,0.12800000000000003,3191.7139049038137,0.034999999999999996,0.4,10,0.0,0.006,0.006,shuffle,0.05,ff_e2e,1.0,0.6,self_contrastive,self_contrastive,0.3265906900742155
1.0495597949999744,0.7298444130127298,2.0088414748509726,3.7402204672495523,shuffle,ff,,,,,,1.7313789923985796,3.630000000000001,0.16000000000000003,2690.821713763864,0.034999999999999996,0.25,10,0.0,0.006,0.006,shuffle,0.05,ff_layerwise,1.3,0.6,self_contrastive,shuffle,0.5298762756299671
0.8962986013333042,1.0,0.27926888565222424,0.9946711162726084,self_contrastive,self_contrastive,1.0,0.7154022306203842,1.5853720307350159,0.27926888565222424,0.9946711162726084,0.7154022306203842,3.630000000000001,0.16000000000000003,3150.786927518589,0.034999999999999996,0.25,10,0.0,0.006,0.006,shuffle,0.05,ff_e2e,1.3,0.6,self_contrastive,self_contrastive,0.3025283948614725
1.0522792286665965,0.7029702970297029,2.0746246178944907,3.93463400999705,shuffle,ff,,,,,,1.8600093921025591,3.993000000000001,0.12800000000000003,2683.747718931669,0.048999999999999995,0.1,10,0.0,0.006,0.006,shuffle,0.05,ff_layerwise,0.7,0.5,self_contrastive,shuffle,0.5897592419165858
0.897088748333393,1.0,0.27703438699245453,0.9946645100911459,self_contrastive,self_contrastive,1.0,0.7176301230986913,1.5726281603177388,0.27703438699245453,0.9946645100911459,0.7176301230986913,3.993000000000001,0.12800000000000003,3148.1475499674357,0.048999999999999995,0.1,10,0.0,0.006,0.006,shuffle,0.05,ff_e2e,0.7,0.5,self_contrastive,self_contrastive,0.3020356687876666
1.0628630226666853,0.6760961810466761,1.8667786717414856,3.419081687927246,shuffle,ff,,,,,,1.5523030161857605,3.630000000000001,0.12800000000000003,2657.1028527481726,0.024499999999999997,0.4,12,0.0,0.006,0.006,shuffle,0.05,ff_layerwise,1.3,0.6,self_contrastive,shuffle,0.42002586274984127
0.8952764873333763,1.0,0.2812061756849289,0.9948537945747375,self_contrastive,self_contrastive,1.0,0.7136476188898087,1.5882207751274109,0.2812061756849289,0.9948537945747375,0.7136476188898087,3.630000000000001,0.12800000000000003,3154.3481645232896,0.024499999999999997,0.4,12,0.0,0.006,0.006,shuffle,0.05,ff_e2e,1.3,0.6,self_contrastive,self_contrastive,0.3038176399998284
1.0593209950000073,0.6796322489391796,2.2171589136123657,3.8109126885732016,shuffle,ff,,,,,,1.593753774960836,3.993000000000001,0.19200000000000003,2665.879614389615,0.048999999999999995,0.25,12,0.0,0.006,0.006,shuffle,0.05,ff_layerwise,1.3,0.6,self_contrastive,shuffle,0.44604371582209057
0.8870626566667094,1.0,0.28064339359601337,0.9947756230831146,self_contrastive,self_contrastive,1.0,0.7141322294871013,1.5890628496805828,0.28064339359601337,0.9947756230831146,0.7141322294871013,3.993000000000001,0.19200000000000003,3183.5818612421626,0.048999999999999995,0.25,12,0.0,0.006,0.006,shuffle,0.05,ff_e2e,1.3,0.6,self_contrastive,self_contrastive,0.3218295576597775
1.0518643189999846,0.6626591230551626,1.8692578474680583,2.9217052459716797,shuffle,ff,,,,,,1.0524473985036213,3.0855000000000006,0.19200000000000003,2684.7799297513425,0.034999999999999996,0.25,12,0.0,0.006,0.006,shuffle,0.05,ff_layerwise,0.7,0.5,self_contrastive,shuffle,0.1874357059719272
0.8846881553333029,1.0,0.28064893434445065,0.994671364625295,self_contrastive,self_contrastive,1.0,0.7140224302808444,1.588504711786906,0.28064893434445065,0.994671364625295,0.7140224302808444,3.0855000000000006,0.19200000000000003,3192.087845270405,0.034999999999999996,0.25,12,0.0,0.006,0.006,shuffle,0.05,ff_e2e,0.7,0.5,self_contrastive,self_contrastive,0.3269452519841136
