date,goodness,fwd_vol_5,fwd_dd_5,fwd_ret_5,fwd_vol_21,fwd_dd_21,fwd_ret_21
2011-06-28,0.9224355816841125,0.013883226535088911,-0.0469144713099966,-0.04276911924610394,0.02153838028862829,-0.10898592565860732,-0.09314969191736155
2011-06-29,0.9224317073822021,0.024311183953292074,-0.046914471309996375,-0.0072202166064982976,0.02147487616756575,-0.1089859256586071,-0.09711191335740077
2011-06-30,0.9224352240562439,0.024315953216713315,-0.046914471309996375,-0.006859205776173494,0.021825855404265272,-0.1089859256586071,-0.0844765342960292
2011-07-01,0.9234331250190735,0.02736389558359121,-0.03271537622682663,-0.0396968603392277,0.02292893781960065,-0.1123227917121048,-0.11872970046914477
2011-07-05,0.9229318499565125,0.024279936585123164,-0.03635041802980743,-0.010820895522388185,0.022171616714171616,-0.123954925481643,-0.10074626865671643
2011-07-06,0.9229366779327393,0.023469871920436022,-0.03635041802980754,0.006058311245740633,0.024922494385833962,-0.17411850236277726,-0.13971980310488452
2011-07-07,0.9229320883750916,0.014702880324573994,-0.05925118138858598,-0.05890909090909091,0.02265284184411912,-0.17411850236277726,-0.17272727272727284
2011-07-08,0.9229594469070435,0.014858753066133901,-0.05787298008267561,-0.08869501999272988,0.02950101289853079,-0.23468251021165965,-0.25081788440567065
2011-07-11,0.9224321246147156,0.012918116948039774,-0.07075649228453185,-0.07215332581736211,0.03248536626963217,-0.23468251021165953,-0.18226230740323202
2011-07-12,0.9224353432655334,0.020498921894705473,-0.07075649228453185,-0.045643153526971014,0.03504566135097839,-0.24805050129966566,-0.2361373066767256
2011-07-13,0.9224320650100708,0.028007653253790586,-0.04598145285935118,-0.011290929619872325,0.039670170781918146,-0.24805050129966566,-0.17839668799397823
2011-07-14,0.9224317669868469,0.026664421923653432,-0.015157558835261598,0.04057187017001507,0.03995114044351529,-0.24805050129966544,-0.13948995363214833
2011-07-15,0.9224339127540588,0.019161012821090163,0.0,0.07419226166733095,0.04000609020522857,-0.24805050129966544,-0.09214200239329884
2011-07-18,0.9224314093589783,0.022495304810715818,-0.02525064983289993,0.0631834750911302,0.03993854748521099,-0.24805050129966555,-0.08424463345483979
2011-07-19,0.9224338531494141,0.024047308736074993,-0.04158930560712937,0.020158102766798525,0.039458569616267175,-0.24805050129966544,-0.10434782608695614
2011-07-20,0.9224306344985962,0.018685618700714047,-0.06312662458225005,-0.03958888465930699,0.04112289923265001,-0.24805050129966566,-0.20213170917396261
2011-07-21,0.9219300746917725,0.00942211229371957,-0.07092461938358685,-0.07092461938358685,0.04034876307143228,-0.24805050129966555,-0.2298551800965466
2011-07-22,0.92193204164505,0.009297800175529457,-0.04723809523809497,-0.0712959524693646,0.040322513158176365,-0.22857142857142843,-0.23134051243965825
2011-07-25,0.9219287037849426,0.01286486600642068,-0.03099573808601286,-0.03390476190476188,0.040603961878621385,-0.21542037969779138,-0.19999999999999996
2011-07-26,0.921930193901062,0.017851711148870658,-0.037066246056782326,-0.053855094924447844,0.04102307451524241,-0.2014984227129336,-0.17163889965129786
2011-07-27,0.9219313859939575,0.016993194903678108,-0.0496845425867507,-0.04478795085216025,0.04108242104454709,-0.2014984227129336,-0.17439556084026964
2011-07-28,0.9219300746917725,0.026119668044702365,-0.10410094637223954,-0.0919264588329336,0.04270048297121756,-0.2014984227129335,-0.12869704236610702
2011-07-29,0.921934962272644,0.026376097986396983,-0.10410094637223977,-0.09036385445821693,0.043422302713938835,-0.2014984227129336,-0.10115953618552609
2011-08-01,0.9219323396682739,0.03531546706320845,-0.15601965601965595,-0.1873028391167192,0.04350734718809877,-0.1707616707616706,-0.09779179810725547
2011-08-02,0.921929657459259,0.05234496862878708,-0.14481327800829868,-0.1089271089271091,0.042928284973582205,-0.15975103734439822,-0.05733005733005747
2011-08-03,0.9219310283660889,0.0553159323015216,-0.10989010989010972,-0.15975103734439822,0.04398085764396317,-0.10989010989010972,-0.09004149377593373
2011-08-04,0.9219295978546143,0.06812726498327772,-0.10989010989010972,-0.03917253521126751,0.043540583509622977,-0.10989010989010972,-0.08274647887323927
2011-08-05,0.9219317436218262,0.06903841424243501,-0.0693933823529409,-0.02109890109890089,0.04355839689550131,-0.10599478714161592,-0.0953846153846154
2011-08-08,0.9219540953636169,0.05033423050681881,-0.0693933823529409,0.10431829209121801,0.038906754229510815,-0.10599478714161581,0.03493449781659397
2011-08-09,0.921929657459259,0.04783055529859548,-0.00659050966608099,0.03906250000000022,0.03714116593653154,-0.10599478714161581,-0.030330882352941013
2011-08-10,0.9219328761100769,0.028412061654032178,-0.00659050966608099,0.11901234567901242,0.03618196871933083,-0.13727193744569932,-0.01925925925925953
2011-08-11,0.9219447374343872,0.03652784552087666,-0.07908611599297022,-0.039853412734768834,0.03194398018499276,-0.14422241529105095,-0.09757214841960604
2011-08-12,0.9219963550567627,0.03377018381517657,-0.08875219683655555,-0.06870229007633621,0.032792592307375,-0.14422241529105084,-0.08172429277054338
2011-08-15,0.9219342470169067,0.029817078315518063,-0.08649602824360147,-0.09050966608084376,0.032368208987324516,-0.14422241529105095,-0.09622144112478048
2011-08-16,0.9219614267349243,0.03261088994721874,-0.08649602824360147,-0.07120743034055732,0.033185549375653774,-0.14422241529105084,-0.06280406899601954
2011-08-17,0.9219672083854675,0.034782912472527246,-0.012404580152671763,-0.05648720211827041,0.033177022053447,-0.14422241529105106,-0.0639894086496029
2011-08-18,0.9219499230384827,0.01621836785524559,-0.02572497661365758,-0.006202290076335881,0.028713389960159874,-0.14422241529105106,0.0033396946564885344
