scenario_id,graph_index,date,ticker,series,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19
63,2523,2022-01-28,SNV,halluc,-0.0068987412,0.02914935,0.03739314,-0.008475462,0.035964612,0.0041920794,0.0068220845,-0.00094473315,-0.007018904,0.007774762,0.013508649,-0.016535513,-0.034502797,-0.038789347,0.0006114338,0.0077126427,0.005444111,0.0108001055,-0.025996424,0.007930901
63,2523,2022-01-28,SNX,real,-0.009704994,0.0049079857,0.025379006,-0.0144233275,-0.01683057,-0.040012512,0.005112766,-0.021632914,0.00880165,0.0065278583,-0.02130302,-0.0033758471,-0.0010337862,-0.0032110955,-0.013332261,0.0028719152,-0.04366994,0.004781838,-0.0049815783,0.0063719847
63,2523,2022-01-28,SNX,halluc,-0.009704994,0.0049079857,0.025379006,-0.0144233275,-0.01683057,-0.040012512,0.005112766,-0.021632914,0.00880165,0.0065278583,-0.02130302,-0.0033758471,-0.0010337862,-0.0032110955,-0.013332261,0.0028719152,-0.04366994,0.004781838,-0.0049815783,0.0063719847
63,2523,2022-01-28,SON,real,-0.003977524,-0.003819449,0.013991075,0.0025695944,-0.004973855,0.003946809,-0.0029157042,0.0034293588,-0.0023993156,0.007010373,-0.0027299114,-0.013589269,0.0134184025,-0.014111403,-0.017130291,0.015048403,-0.011879943,-0.014694432,0.0064000217,0.0053022397
63,2523,2022-01-28,SON,halluc,-0.003977524,-0.003819449,0.013991075,0.0025695944,-0.004973855,0.003946809,-0.0029157042,0.0034293588,-0.0023993156,0.007010373,-0.0027299114,-0.013589269,0.0134184025,-0.014111403,-0.017130291,0.015048403,-0.011879943,-0.014694432,0.0064000217,0.0053022397
63,2523,2022-01-28,SPWR,real,0.0383263,0.025377303,-0.0009285044,-0.084775984,-0.03236861,0.01193889,0.012307849,0.03456392,0.003440652,-0.013336824,0.0024832394,-0.041524954,-0.021955926,0.0052714925,-0.18579763,0.056313906,-0.026069982,-0.017973833,-0.055945158,0.013793321
63,2523,2022-01-28,SPWR,halluc,0.0383263,0.025377303,-0.0009285044,-0.084775984,-0.03236861,0.01193889,0.012307849,0.03456392,0.003440652,-0.013336824,0.0024832394,-0.041524954,-0.021955926,0.0052714925,-0.16748625,0.056313906,-0.026069982,-0.017973833,-0.055945158,0.013793321
63,2523,2022-01-28,SRC,real,0.008320941,-0.0033368124,0.013899197,-0.01829573,0.01437375,-0.0028997534,-0.0010376674,0.0064162486,0.013931797,0.008105414,0.0012101657,-0.028211193,-0.016304709,-0.037578225,-0.0015329029,0.007423615,-0.000435161,-0.007865455,-0.0037358576,0.03163861
63,2523,2022-01-28,SRC,halluc,0.008320941,-0.0033368124,0.013899197,-0.01829573,0.01437375,-0.0028997534,-0.0010376674,0.0064162486,0.013931797,0.008105414,0.0012101657,-0.028211193,-0.016304709,-0.037578225,-0.0015329029,0.007423615,-0.000435161,-0.007865455,-0.0037358576,0.03163861
63,2523,2022-01-28,SRCL,real,0.0005042439,0.0015112085,0.019440671,-0.027188733,-0.0071271304,0.0034002073,0.0067659253,-0.00016859139,-0.0027013356,-0.0023696693,0.00456506,-0.010854923,-0.007359896,-0.012794089,0.0074543115,0.0075705796,-0.030278979,-0.014593603,-0.0016147847,0.027102888
63,2523,2022-01-28,SRCL,halluc,-0.00064753916,0.002879895,0.020139439,-0.02701494,-0.00422809,0.00031361892,0.0057606976,0.001562837,0.0009973259,-0.0023788984,0.0042049326,-0.011597155,-0.008910533,-0.013266812,0.005090582,0.009678624,-0.029767746,-0.01506375,-0.00090500724,0.02668216
63,2523,2022-01-28,SSD,real,-0.0049911486,-0.028763615,0.013123451,-0.009192767,0.0027518524,-0.023901928,-0.007789272,-0.00092038605,-0.0001534801,0.0041357186,-0.015015876,-0.02872743,-0.01626052,-0.039902654,-0.03971408,0.046615884,-0.03369332,-0.026637767,-0.021341588,0.016250247
63,2523,2022-01-28,SSD,halluc,-0.008561294,-0.018931784,0.014740245,-0.017665632,-0.00060265604,-0.022326529,-0.009670956,0.0047840094,-0.0006877184,0.0019525364,-0.017078348,-0.031930722,-0.014398984,-0.039543696,-0.038222536,0.044408344,-0.03807856,-0.02805749,-0.02026422,0.01860085
