ticker,num_pairs,num_points,corr_real_hall,mae,rmse,kl_divergence,js_divergence,tail_abs_p99_real,tail_abs_p99_hall,tail_ratio_p99
AA,100,2000,0.9664101976463804,0.008039165328941646,0.010220785764001115,0.09569116660156418,0.009730410776425572,0.09948739319999995,0.09717317996,0.9767386282265162
TTMI,1,20,0.993648895908155,0.005055593092,0.00667391566801553,13.596706908468068,0.4021826815258884,0.1668880588999999,0.1716773051999999,1.0286973575675042
AEIS,1,20,0.9930084185872953,0.0029605868450000004,0.004318349286888569,12.940157199512079,0.40420924292798976,0.07666323869999998,0.07763116499999999,1.0126256901797186
SATS,27,540,0.9941705551298131,0.002603958402474074,0.0082593518483674,0.3432479393671627,0.02402476815586996,0.19076459,0.18859734640000017,0.9886391725005157
BILL,35,700,0.9756394050537257,0.002528630368232857,0.01028531616903038,0.1507905375793201,0.006472334190831628,0.09892739309999991,0.09257101933999996,0.9357470811590611
AAON,45,900,0.9896387535324944,0.001765125657381111,0.005610679384041424,0.28224647232223105,0.01284220803647724,0.1634368601,0.1372966523,0.8400592878252438
ULS,4,80,0.9858082382412962,0.0016782810825,0.0038895253876243437,0.5737813124807607,0.036176030236013866,0.0633785256999996,0.05828108124999976,0.9195714259096457
FN,39,780,0.9901110942509135,0.0016531786843589742,0.005520072415351953,0.19607224862746436,0.01112106271345674,0.1194635592000008,0.11450619240000012,0.9585031047693693
ELF,51,1020,0.9908775301723091,0.0016480214024117647,0.0065719464878460235,0.22687807611379818,0.00956743976983585,0.2114292101999999,0.1725569782999995,0.8161454045861046
FOXF,54,1080,0.9866815704186385,0.0015752402818611112,0.007171828467491652,0.1728171868532286,0.008037674648838236,0.09621556444000089,0.09194085064000072,0.9555714938130844
GME,100,2000,0.9951774563964233,0.0015516171673849999,0.005459116584234291,0.08919488884583766,0.004808702721611597,0.20550584159999985,0.20524583329999999,0.9987347887632997
FIX,49,980,0.9863772613265314,0.0015296788054591835,0.006534489933422729,0.2675594939422942,0.011077902176057575,0.12171365385000055,0.10575881904000002,0.868914995932476
NXT,41,820,0.9920923120529154,0.0014839350036682927,0.005129076855439526,0.19533826337061683,0.010910060650405284,0.11302790584999986,0.11463569104999975,1.0142246747642445
CALX,53,1060,0.990987197591044,0.0014792663585646226,0.005081488081313093,0.1220268595462321,0.006842077895136731,0.12815823410000002,0.12161519715000069,0.9489456374305697
CRS,35,700,0.990248531582557,0.0014784465431642855,0.004339365257324036,0.2242757805199501,0.013510208913813944,0.1177430001,0.09889347789999997,0.8399096151449259
CIEN,100,2000,0.9900961841868472,0.0014703373861609692,0.0048402353291319925,0.12260545862821075,0.006006358366143471,0.13836229,0.10830880345,0.7827913476280279
FG,2,40,0.9942428836418923,0.0014696600499999996,0.002291253580417902,5.570067599917285,0.19663536125402803,0.05678381244,0.05960937058,1.0497599230940262
PVH,86,1720,0.9902826621213656,0.0014681387230784885,0.0046632346481602985,0.14852441609880163,0.008152454294590012,0.11078577405000001,0.1059122185399996,0.9560091938537085
SITM,32,640,0.9939935305626467,0.0014642910451093747,0.0056649340093866615,0.0843155224791852,0.00415295557548053,0.1340313978,0.1340313978,1.0
ONTO,50,1000,0.9879427809765169,0.001446625052775,0.0069745788461950545,0.1418071975651202,0.0067211757526964965,0.1222946471999999,0.12225648639999993,0.999687960177541
ENTG,28,560,0.9897153364175993,0.0014364259346732141,0.0059988643758325565,0.2725116649929319,0.012961305908528009,0.15616532,0.12578502379999978,0.8054606733428381
RH,100,2000,0.9832739802689466,0.0014236128125555002,0.0076503072565429105,0.07243224797356104,0.004786817516206254,0.12656325019999998,0.1265650052,1.0000138665844727
