horizon,decile,avg_drawdown,avg_vol,avg_return
5,0,-0.021274188011951235,0.013403121314694292,0.006390857930480601
5,1,-0.020092815434309554,0.012407612414634934,0.004318301652232127
5,2,-0.02029071313527691,0.012812505197118152,0.004063067876173697
5,3,-0.01941980200322385,0.012755009216360986,0.00372751852310371
5,4,-0.02036414596177351,0.012677833637225019,0.002456144893384014
5,5,-0.019291914436721257,0.012985050960163044,0.0015975544105589375
5,6,-0.01973023812278703,0.01211882973005585,0.003206357511363516
5,7,-0.021054750811554786,0.01230103964536102,0.0011545362827304327
5,8,-0.02039223275292987,0.012630705422680617,0.00040956172473508885
5,9,-0.02086290334825211,0.013299391607635193,0.0030507618709183794
21,0,-0.06704104297040796,0.016358660785333438,0.014888606204383422
21,1,-0.06228883463316587,0.015730645286880066,0.015186232781999903
21,2,-0.062800080595726,0.015193268641730718,0.011289007284159932
21,3,-0.06402461355927912,0.01539470573709243,0.009011506401964596
21,4,-0.06122708729488444,0.014992745203610042,0.01022183670470437
21,5,-0.060218540873964214,0.01565837077894466,0.016149455091301248
21,6,-0.058776981572207926,0.014859345879326255,0.017717620351845424
21,7,-0.057492449806346914,0.0146818485458216,0.017885849800996563
21,8,-0.059864342909793256,0.014608003878029494,0.011369410315012292
21,9,-0.06217154430826558,0.015491280409616608,0.013058191719655032
