epoch,loss,g_pos,g_neg,hallucinate_ratio,gate_ratio,hall_hardness,hall_close_ratio,energy_penalty,risk_loss,portfolio_loss,dist_forward_loss,goodness_target_used,neg_mix_end_used,neg_gate_margin_used,hall_lr_used,hall_steps_used,hall_node_fraction_used,rank_aux_loss,time_neg_gen_s,time_hallucinate_s,time_forward_pos_s,time_forward_neg_s,time_loss_terms_s,time_optimizer_s
22,0.520720,0.985317,0.044717,0.0000,0.0000,0.000000,0.0000,0.000000,0.311006,0.000000,0.068977,2.300000,0.750000,0.650000,0.028500,3,0.285000,0.706673,0.000172,0.000000,0.000662,0.000662,0.016337,0.017046
23,0.507682,0.982980,0.043025,0.0000,0.0000,0.000000,0.0000,0.000000,0.310437,0.000000,0.068999,2.300000,0.750000,0.650000,0.029000,3,0.290000,0.702818,0.000178,0.000000,0.000677,0.000677,0.016486,0.017166
24,0.496760,0.985700,0.044373,0.0000,0.0000,0.000000,0.0000,0.000000,0.310983,0.000000,0.069209,2.300000,0.750000,0.650000,0.029500,3,0.295000,0.698125,0.000186,0.000000,0.000746,0.000746,0.017211,0.017878
25,0.481817,0.985700,0.043666,0.0000,0.0000,0.000000,0.0000,0.000000,0.310586,0.000000,0.069275,2.300000,0.750000,0.650000,0.030000,3,0.300000,0.687348,0.000220,0.000000,0.001483,0.001483,0.021354,0.018667
26,0.465871,0.984235,0.040115,0.0000,0.0000,0.000000,0.0000,0.000000,0.309927,0.000000,0.070341,2.300000,0.750000,0.650000,0.030500,3,0.305000,0.675172,0.000382,0.000000,0.001461,0.001461,0.021972,0.019216
27,0.462979,0.985421,0.040292,0.0000,0.0000,0.000000,0.0000,0.000000,0.310982,0.000000,0.070553,2.300000,0.750000,0.650000,0.031000,3,0.310000,0.666974,0.000176,0.000000,0.000644,0.000644,0.016691,0.017189
28,0.442868,0.985491,0.039006,0.0000,0.0000,0.000000,0.0000,0.000000,0.310747,0.000000,0.070686,2.300000,0.750000,0.650000,0.031500,3,0.315000,0.651709,0.000185,0.000000,0.000663,0.000663,0.016677,0.017176
29,0.450849,0.983887,0.040859,0.0000,0.0000,0.000000,0.0000,0.000000,0.311019,0.000000,0.070849,2.300000,0.750000,0.650000,0.032000,3,0.320000,0.634229,0.000187,0.000000,0.000672,0.000672,0.016673,0.017231
30,0.443531,0.985177,0.041846,0.0000,0.0000,0.000000,0.0000,0.000000,0.310243,0.000000,0.070084,2.300000,0.750000,0.650000,0.032500,4,0.325000,0.618683,0.000177,0.000000,0.000658,0.000658,0.016586,0.017484
31,0.433499,0.985665,0.041861,0.0000,0.0000,0.000000,0.0000,0.000000,0.309777,0.000000,0.070841,2.300000,0.750000,0.650000,0.033000,4,0.330000,0.604186,0.000184,0.000000,0.000662,0.000662,0.016635,0.017304
32,0.439751,0.983364,0.042507,0.0000,0.0000,0.000000,0.0000,0.000000,0.310234,0.000000,0.070469,2.300000,0.750000,0.650000,0.033500,4,0.335000,0.615106,0.000174,0.000000,0.000647,0.000647,0.016737,0.017414
33,0.430190,0.983747,0.041903,0.0000,0.0000,0.000000,0.0000,0.000000,0.311689,0.000000,0.070735,2.300000,0.750000,0.650000,0.034000,4,0.340000,0.584092,0.000183,0.000000,0.000651,0.000651,0.016455,0.017081
34,0.430360,0.983398,0.044150,0.0000,0.0000,0.000000,0.0000,0.000000,0.309903,0.000000,0.070536,2.300000,0.750000,0.650000,0.034500,4,0.345000,0.555906,0.000180,0.000000,0.000659,0.000659,0.016996,0.017286
35,0.424009,0.984061,0.044224,0.0000,0.0000,0.000000,0.0000,0.000000,0.310223,0.000000,0.070795,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.540644,0.000174,0.000000,0.000690,0.000690,0.016640,0.017201
36,0.411127,0.984235,0.042982,0.0000,0.0000,0.000000,0.0000,0.000000,0.310109,0.000000,0.070520,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.503183,0.000182,0.000000,0.000637,0.000637,0.016656,0.017458
37,0.410158,0.983085,0.043119,0.0000,0.0000,0.000000,0.0000,0.000000,0.310849,0.000000,0.070899,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.499435,0.000190,0.000000,0.000728,0.000728,0.016495,0.017253
38,0.410180,0.983538,0.042474,0.0000,0.0000,0.000000,0.0000,0.000000,0.310183,0.000000,0.070592,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.488930,0.000208,0.000000,0.000921,0.000921,0.018902,0.018062
39,0.402611,0.984619,0.044085,0.0000,0.0000,0.000000,0.0000,0.000000,0.310374,0.000000,0.071268,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.445358,0.000357,0.000000,0.000879,0.000879,0.019081,0.019133
40,0.395641,0.984410,0.044233,0.0000,0.0000,0.000000,0.0000,0.000000,0.309958,0.000000,0.070408,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.433923,0.000199,0.000000,0.000987,0.000987,0.018602,0.018201
41,0.396432,0.985456,0.043143,0.0000,0.0000,0.000000,0.0000,0.000000,0.311047,0.000000,0.070714,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.374657,0.000342,0.000000,0.000792,0.000792,0.018589,0.018145
42,0.393793,0.984759,0.043836,0.0000,0.0000,0.000000,0.0000,0.000000,0.310527,0.000000,0.071014,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.381152,0.000179,0.000000,0.000643,0.000643,0.016205,0.017061
43,0.397801,0.982875,0.044447,0.0000,0.0000,0.000000,0.0000,0.000000,0.310701,0.000000,0.070718,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.352903,0.000190,0.000000,0.000646,0.000646,0.016598,0.016959
44,0.385969,0.985421,0.044453,0.0000,0.0000,0.000000,0.0000,0.000000,0.310821,0.000000,0.070909,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.335393,0.000179,0.000000,0.000647,0.000647,0.016380,0.017147
45,0.386383,0.986328,0.045550,0.0000,0.0000,0.000000,0.0000,0.000000,0.310118,0.000000,0.069882,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.312657,0.000179,0.000000,0.000643,0.000643,0.016340,0.017237
46,0.387345,0.984480,0.046304,0.0000,0.0000,0.000000,0.0000,0.000000,0.310882,0.000000,0.070589,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.267241,0.000187,0.000000,0.000663,0.000663,0.016509,0.017112
47,0.380849,0.984480,0.046555,0.0000,0.0000,0.000000,0.0000,0.000000,0.310215,0.000000,0.071434,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.238271,0.000183,0.000000,0.000689,0.000689,0.016528,0.017102
48,0.381904,0.983538,0.046079,0.0000,0.0000,0.000000,0.0000,0.000000,0.309750,0.000000,0.071650,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.239753,0.000179,0.000000,0.000644,0.000644,0.016538,0.017183
49,0.367985,0.985631,0.045545,0.0000,0.0000,0.000000,0.0000,0.000000,0.309271,0.000000,0.070973,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.202630,0.000186,0.000000,0.000704,0.000704,0.016627,0.017275
50,0.379006,0.981166,0.045404,0.0000,0.0000,0.000000,0.0000,0.000000,0.310577,0.000000,0.071417,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.210290,0.000180,0.000000,0.000662,0.000662,0.016524,0.017087
51,0.376569,0.985107,0.047411,0.0000,0.0000,0.000000,0.0000,0.000000,0.310421,0.000000,0.070987,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.168217,0.000177,0.000000,0.000654,0.000654,0.016843,0.017303
52,0.370568,0.984898,0.047056,0.0000,0.0000,0.000000,0.0000,0.000000,0.310043,0.000000,0.071093,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.165837,0.000189,0.000000,0.000653,0.000653,0.016284,0.017184
53,0.374309,0.983259,0.049155,0.0000,0.0000,0.000000,0.0000,0.000000,0.310792,0.000000,0.070774,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.158597,0.000223,0.000000,0.001581,0.001581,0.022072,0.018770
54,0.366331,0.982178,0.045353,0.0000,0.0000,0.000000,0.0000,0.000000,0.309413,0.000000,0.071186,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.153015,0.000351,0.000000,0.000994,0.000994,0.019209,0.018531
55,0.362478,0.983887,0.046467,0.0000,0.0000,0.000000,0.0000,0.000000,0.310473,0.000000,0.071072,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.149092,0.000274,0.000000,0.000841,0.000841,0.018428,0.017880
56,0.368072,0.983398,0.047211,0.0000,0.0000,0.000000,0.0000,0.000000,0.310643,0.000000,0.071329,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.129366,0.000172,0.000000,0.000655,0.000655,0.016281,0.017299
57,0.370449,0.983677,0.049685,0.0000,0.0000,0.000000,0.0000,0.000000,0.309916,0.000000,0.071361,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.111743,0.000178,0.000000,0.000645,0.000645,0.016699,0.017365
58,0.363478,0.983677,0.050051,0.0000,0.0000,0.000000,0.0000,0.000000,0.309981,0.000000,0.071262,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.147378,0.000178,0.000000,0.000654,0.000654,0.016398,0.017207
59,0.364146,0.983747,0.047764,0.0000,0.0000,0.000000,0.0000,0.000000,0.310478,0.000000,0.071091,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.120264,0.000183,0.000000,0.000650,0.000650,0.016558,0.017094
60,0.359702,0.984480,0.047952,0.0000,0.0000,0.000000,0.0000,0.000000,0.311017,0.000000,0.071327,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.118655,0.000181,0.000000,0.000650,0.000650,0.016377,0.017299
61,0.364169,0.981934,0.046958,0.0000,0.0000,0.000000,0.0000,0.000000,0.309467,0.000000,0.072005,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.111659,0.000174,0.000000,0.000662,0.000662,0.016440,0.017114
62,0.356672,0.983015,0.048837,0.0000,0.0000,0.000000,0.0000,0.000000,0.310045,0.000000,0.071392,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.084663,0.000181,0.000000,0.000653,0.000653,0.016260,0.017246
63,0.356230,0.982038,0.047270,0.0000,0.0000,0.000000,0.0000,0.000000,0.309821,0.000000,0.071168,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.091405,0.000178,0.000000,0.000659,0.000659,0.016463,0.017255
64,0.358984,0.981410,0.049353,0.0000,0.0000,0.000000,0.0000,0.000000,0.311408,0.000000,0.071443,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.107440,0.000183,0.000000,0.000649,0.000649,0.016669,0.017242
65,0.357038,0.982840,0.047923,0.0000,0.0000,0.000000,0.0000,0.000000,0.309842,0.000000,0.071538,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.106598,0.000217,0.000000,0.000661,0.000661,0.016231,0.017091
66,0.355245,0.984375,0.049898,0.0000,0.0000,0.000000,0.0000,0.000000,0.310577,0.000000,0.071339,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.087724,0.000187,0.000000,0.000652,0.000652,0.016538,0.017095
67,0.357160,0.982596,0.050559,0.0000,0.0000,0.000000,0.0000,0.000000,0.310262,0.000000,0.071263,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.075047,0.000206,0.000000,0.000984,0.000984,0.020421,0.018876
68,0.354894,0.981794,0.048333,0.0000,0.0000,0.000000,0.0000,0.000000,0.310008,0.000000,0.071393,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.085795,0.000208,0.000000,0.001324,0.001324,0.020016,0.018948
69,0.347340,0.984235,0.047102,0.0000,0.0000,0.000000,0.0000,0.000000,0.310641,0.000000,0.071551,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.078652,0.000210,0.000000,0.000866,0.000866,0.018417,0.018819
70,0.355221,0.979109,0.045639,0.0000,0.0000,0.000000,0.0000,0.000000,0.310349,0.000000,0.072093,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.068307,0.000180,0.000000,0.000660,0.000660,0.016548,0.017237
71,0.351285,0.981236,0.048240,0.0000,0.0000,0.000000,0.0000,0.000000,0.310700,0.000000,0.071880,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.073263,0.000176,0.000000,0.000652,0.000652,0.016476,0.017192
72,0.359771,0.980643,0.049369,0.0000,0.0000,0.000000,0.0000,0.000000,0.310629,0.000000,0.071527,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.080106,0.000175,0.000000,0.000672,0.000672,0.016387,0.017201
73,0.351386,0.982701,0.050099,0.0000,0.0000,0.000000,0.0000,0.000000,0.310999,0.000000,0.071937,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.051629,0.000221,0.000000,0.000728,0.000728,0.016300,0.017155
74,0.351809,0.980922,0.049367,0.0000,0.0000,0.000000,0.0000,0.000000,0.310566,0.000000,0.071691,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.041652,0.000183,0.000000,0.000650,0.000650,0.016229,0.017107
75,0.349579,0.981655,0.048235,0.0000,0.0000,0.000000,0.0000,0.000000,0.310171,0.000000,0.071604,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.066892,0.000196,0.000000,0.000683,0.000683,0.016850,0.017387
76,0.349565,0.980678,0.048761,0.0000,0.0000,0.000000,0.0000,0.000000,0.310415,0.000000,0.071836,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.071176,0.000171,0.000000,0.000647,0.000647,0.016562,0.017126
77,0.351469,0.981166,0.049231,0.0000,0.0000,0.000000,0.0000,0.000000,0.310665,0.000000,0.072024,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.055352,0.000180,0.000000,0.000662,0.000662,0.016723,0.017181
78,0.347458,0.982701,0.049986,0.0000,0.0000,0.000000,0.0000,0.000000,0.311376,0.000000,0.071834,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.058329,0.000188,0.000000,0.000639,0.000639,0.016741,0.017286
79,0.345659,0.980678,0.049255,0.0000,0.0000,0.000000,0.0000,0.000000,0.310570,0.000000,0.071625,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.040803,0.000183,0.000000,0.000646,0.000646,0.016604,0.017389
80,0.351915,0.979492,0.048224,0.0000,0.0000,0.000000,0.0000,0.000000,0.310211,0.000000,0.071916,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.044480,0.000185,0.000000,0.000650,0.000650,0.016522,0.017116
81,0.347482,0.980992,0.048434,0.0000,0.0000,0.000000,0.0000,0.000000,0.311436,0.000000,0.071858,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.078231,0.000205,0.000000,0.000975,0.000975,0.018501,0.018115
82,0.344239,0.982352,0.049286,0.0000,0.0000,0.000000,0.0000,0.000000,0.310916,0.000000,0.071904,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.046768,0.000354,0.000000,0.001377,0.001377,0.021268,0.018455
83,0.347195,0.979946,0.047335,0.0000,0.0000,0.000000,0.0000,0.000000,0.310433,0.000000,0.071711,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.040868,0.000205,0.000000,0.001146,0.001146,0.019227,0.018243
84,0.344168,0.981759,0.048710,0.0000,0.0000,0.000000,0.0000,0.000000,0.309210,0.000000,0.071888,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.056281,0.000178,0.000000,0.000660,0.000660,0.016263,0.017034
85,0.346197,0.983015,0.052388,0.0000,0.0000,0.000000,0.0000,0.000000,0.310564,0.000000,0.071683,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.032238,0.000182,0.000000,0.000654,0.000654,0.016697,0.017181
86,0.348863,0.981236,0.051147,0.0000,0.0000,0.000000,0.0000,0.000000,0.309984,0.000000,0.072031,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.038599,0.000177,0.000000,0.000648,0.000648,0.016383,0.017040
87,0.343875,0.982631,0.049105,0.0000,0.0000,0.000000,0.0000,0.000000,0.310242,0.000000,0.071847,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.030889,0.000178,0.000000,0.000673,0.000673,0.016733,0.017270
88,0.339832,0.984480,0.049216,0.0000,0.0000,0.000000,0.0000,0.000000,0.311085,0.000000,0.071718,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.041601,0.000181,0.000000,0.000653,0.000653,0.016448,0.017274
89,0.343374,0.984061,0.052741,0.0000,0.0000,0.000000,0.0000,0.000000,0.310595,0.000000,0.071858,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.049020,0.000179,0.000000,0.000644,0.000644,0.016744,0.017275
90,0.340677,0.982666,0.051474,0.0000,0.0000,0.000000,0.0000,0.000000,0.310834,0.000000,0.071995,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.049763,0.000178,0.000000,0.000656,0.000656,0.016646,0.017227
91,0.348866,0.980120,0.050485,0.0000,0.0000,0.000000,0.0000,0.000000,0.310874,0.000000,0.071961,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.038710,0.000182,0.000000,0.000650,0.000650,0.016626,0.017206
92,0.341730,0.980852,0.047969,0.0000,0.0000,0.000000,0.0000,0.000000,0.310388,0.000000,0.071877,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.036486,0.000177,0.000000,0.000647,0.000647,0.016269,0.016993
93,0.434129,0.984166,0.052170,0.0000,0.0000,0.000000,0.0000,0.000000,0.310220,0.000000,0.071578,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.034485,0.000683,0.000000,0.000625,0.001378,0.023453,0.024388
94,0.417494,0.987095,0.063913,0.0000,0.0000,0.000000,0.0000,0.000000,0.309060,0.000000,0.071076,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.039786,0.000697,0.000000,0.000708,0.001545,0.024438,0.025044
95,0.406151,0.986258,0.065011,0.0000,0.0000,0.000000,0.0000,0.000000,0.310812,0.000000,0.070938,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.071747,0.001137,0.000000,0.001049,0.002209,0.026676,0.024540
96,0.388776,0.988107,0.065942,0.0000,0.0000,0.000000,0.0000,0.000000,0.309618,0.000000,0.070804,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.054956,0.001123,0.000000,0.001024,0.001955,0.026494,0.024642
97,0.381601,0.987863,0.065857,0.0000,0.0000,0.000000,0.0000,0.000000,0.310812,0.000000,0.070907,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.064518,0.000643,0.000000,0.000619,0.001354,0.023904,0.023845
98,0.376224,0.985875,0.063629,0.0000,0.0000,0.000000,0.0000,0.000000,0.310129,0.000000,0.071723,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.087293,0.000661,0.000000,0.000661,0.001439,0.024269,0.023938
99,0.371801,0.987340,0.065039,0.0000,0.0000,0.000000,0.0000,0.000000,0.309599,0.000000,0.071424,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.048652,0.000652,0.000000,0.000598,0.001348,0.023712,0.023801
100,0.367143,0.987932,0.065630,0.0000,0.0000,0.000000,0.0000,0.000000,0.311754,0.000000,0.071566,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.047377,0.000645,0.000000,0.000618,0.001330,0.023611,0.023936
101,0.364299,0.988456,0.063908,0.0000,0.0000,0.000000,0.0000,0.000000,0.310264,0.000000,0.071680,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.083699,0.000645,0.000000,0.000609,0.001353,0.023885,0.023916
102,0.361186,0.987444,0.063496,0.0000,0.0000,0.000000,0.0000,0.000000,0.309854,0.000000,0.071859,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.059376,0.000654,0.000000,0.000622,0.001386,0.023731,0.023841
103,0.361185,0.987828,0.062352,0.0000,0.0000,0.000000,0.0000,0.000000,0.310430,0.000000,0.071844,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.037591,0.000653,0.000000,0.000612,0.001371,0.023686,0.023928
104,0.359679,0.987479,0.060601,0.0000,0.0000,0.000000,0.0000,0.000000,0.310270,0.000000,0.071737,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.136390,0.000666,0.000000,0.000619,0.001344,0.023952,0.023929
105,0.352501,0.987932,0.060610,0.0000,0.0000,0.000000,0.0000,0.000000,0.311002,0.000000,0.071940,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.030165,0.000656,0.000000,0.000613,0.001302,0.023550,0.023880
106,0.358237,0.987514,0.061717,0.0000,0.0000,0.000000,0.0000,0.000000,0.311149,0.000000,0.072008,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.056236,0.001528,0.000000,0.001123,0.002230,0.027341,0.024459
107,0.353902,0.987235,0.061268,0.0000,0.0000,0.000000,0.0000,0.000000,0.309570,0.000000,0.072061,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.042956,0.000917,0.000000,0.001019,0.002121,0.027506,0.025114
108,0.354946,0.986886,0.061022,0.0000,0.0000,0.000000,0.0000,0.000000,0.310240,0.000000,0.071924,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.034768,0.000733,0.000000,0.000891,0.001673,0.025459,0.024420
109,0.353674,0.986363,0.060279,0.0000,0.0000,0.000000,0.0000,0.000000,0.310075,0.000000,0.072194,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.028251,0.000660,0.000000,0.000632,0.001363,0.024137,0.023926
110,0.351231,0.986607,0.059470,0.0000,0.0000,0.000000,0.0000,0.000000,0.310976,0.000000,0.072079,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.020529,0.000763,0.000000,0.000694,0.001530,0.024832,0.024056
111,0.351107,0.986956,0.058932,0.0000,0.0000,0.000000,0.0000,0.000000,0.309882,0.000000,0.072127,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.033115,0.000642,0.000000,0.000613,0.001333,0.023851,0.023890
112,0.349077,0.986642,0.058592,0.0000,0.0000,0.000000,0.0000,0.000000,0.311040,0.000000,0.072229,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.015812,0.000638,0.000000,0.000607,0.001326,0.023944,0.023919
113,0.351165,0.986886,0.058099,0.0000,0.0000,0.000000,0.0000,0.000000,0.310609,0.000000,0.072338,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.076041,0.000636,0.000000,0.000618,0.001333,0.023860,0.023970
114,0.349533,0.986398,0.059634,0.0000,0.0000,0.000000,0.0000,0.000000,0.309974,0.000000,0.072463,2.300000,0.750000,0.650000,0.035000,4,0.350000,0.055148,0.000669,0.000000,0.000605,0.001301,0.023618,0.023871
